,Task,Task Description,Start,Finish,Completion Pct,Team
0,Discovery,Gather requirements and translate Business questions to analytics questions,2/7/2021,2/14/2021,100,Sharone
1,Project planning,Create the project plan including core deliverables and estimated timelines,2/14/2021,2/20/2021,100,Sharone
2,Data collection,"Collect data, assess and address any data gap issues",2/14/2021,3/4/2021,75,Sharone
3,Data pre-processing,Process and clean data ,2/28/2021,3/11/2021,60,Sharone
4,EDA,Perform data exploratory analysis,3/4/2021,3/11/2021,30,Jenny and Mark
5,Feature Engineering,Perform feature selection and feature engineering tasks,3/7/2021,3/14/2021,30,Jenny and Mark
6,Model Training,"Model training and validation, hyper-parameter tuning",3/14/2021,3/31/2021,30,Jenny and Mark
7,Model Evaluation,Team to evaluate and discuss the model performance and finalize the modeling results,4/2/2021,4/9/2021,0,Jenny and Mark
8,Data Visualization,Develop BI dashboards to visualize the model performance,4/7/2021,4/15/2021,0,Jeffrey
9,Presentation,Present models to stakeholders and obtain approval to deploy the model,4/15/2021,4/16/2021,0,Jenny and Mark
10,Model deployment,Deploy model on Sagemaker,4/18/2021,4/20/2021,0,Jayden
11,Develop model feedback loop,Develop feedback loop to monitor model's performance on production,4/15/2021,4/30/2021,0,Jayden
12,Documentation,"Document methodology, analysis, code, and findings",4/25/2021,4/30/2021,0,Mark
